t, hrl, hpl, kl, wl, hrl_fb, hpl_fb, kl_fb, wl_fb
0.254,0.111346,0.374732,-0.364278,0,0.0525148,0.336547,-0.608886,-0.254419
0.256,0.111346,0.374732,-0.364278,0,0.0525289,0.337062,-0.608871,-0.256053
0.258,0.111346,0.374732,-0.364278,0,0.0525458,0.337569,-0.608852,-0.257667
0.26,0.111346,0.374732,-0.364278,0,0.0525657,0.338066,-0.608828,-0.259263
0.262,0.0996962,0.376132,-0.365024,0,0.0525886,0.338552,-0.608799,-0.260843
0.264,0.0996962,0.376132,-0.365024,0,0.0526138,0.339035,-0.608765,-0.262405
0.266,0.0996962,0.376132,-0.365024,0,0.0526406,0.339521,-0.608725,-0.26395
0.268,0.0996962,0.376132,-0.365024,0,0.052669,0.340009,-0.608679,-0.265478
0.27,0.0996962,0.376132,-0.365024,0,0.0526984,0.340498,-0.608627,-0.266991
0.272,0.0996962,0.376132,-0.365024,0,0.0527285,0.340987,-0.60857,-0.26849
0.274,0.0996962,0.376132,-0.365024,0,0.052759,0.341475,-0.608506,-0.269975
0.276,0.0996962,0.376132,-0.365024,0,0.0527895,0.341961,-0.608435,-0.271447
0.278,0.0996962,0.376132,-0.365024,0,0.0528199,0.342444,-0.608357,-0.272908
0.28,0.0996962,0.376132,-0.365024,0,0.0528499,0.342922,-0.608272,-0.274358
0.282,0.0905847,0.385509,-0.363105,0,0.0528795,0.343393,-0.608179,-0.275799
0.284,0.0905847,0.385509,-0.363105,0,0.0529081,0.343861,-0.608078,-0.277233
0.286,0.0905847,0.385509,-0.363105,0,0.0529355,0.34433,-0.607966,-0.278664
0.288,0.0905847,0.385509,-0.363105,0,0.0529617,0.344799,-0.607844,-0.280094
0.29,0.0905847,0.385509,-0.363105,0,0.0529868,0.345267,-0.607712,-0.281522
0.292,0.0905847,0.385509,-0.363105,0,0.0530107,0.345733,-0.60757,-0.28295
0.294,0.0905847,0.385509,-0.363105,0,0.0530334,0.346198,-0.607417,-0.284376
0.296,0.0905847,0.385509,-0.363105,0,0.0530548,0.34666,-0.607253,-0.285803
0.298,0.0905847,0.385509,-0.363105,0,0.0530749,0.347118,-0.607078,-0.287229
0.3,0.0905847,0.385509,-0.363105,0,0.0530936,0.347571,-0.606893,-0.288657
0.302,0.0822895,0.386424,-0.369393,0,0.0531109,0.348018,-0.606697,-0.290085
0.304,0.0822895,0.386424,-0.369393,0,0.0531266,0.348461,-0.606493,-0.291505
0.306,0.0822895,0.386424,-0.369393,0,0.0531404,0.348903,-0.606283,-0.29291
0.308,0.0822895,0.386424,-0.369393,0,0.0531524,0.349344,-0.606068,-0.294299
0.31,0.0822895,0.386424,-0.369393,0,0.0531629,0.349783,-0.605846,-0.295674
0.312,0.0822895,0.386424,-0.369393,0,0.0531721,0.350218,-0.605619,-0.297036
0.314,0.0822895,0.386424,-0.369393,0,0.0531801,0.350649,-0.605385,-0.298385
0.316,0.0822895,0.386424,-0.369393,0,0.0531869,0.351074,-0.605144,-0.299723
0.318,0.0822895,0.386424,-0.369393,0,0.0531928,0.351493,-0.604897,-0.30105
0.32,0.0822895,0.386424,-0.369393,0,0.0531977,0.351904,-0.604643,-0.302367
0.322,0.0763348,0.393726,-0.370306,0,0.0532018,0.352307,-0.604382,-0.303675
0.324,0.0763348,0.393726,-0.370306,0,0.0532052,0.352709,-0.604119,-0.304967
0.326,0.0763348,0.393726,-0.370306,0,0.0532083,0.353115,-0.603855,-0.306239
0.328,0.0763348,0.393726,-0.370306,0,0.0532109,0.353525,-0.603591,-0.30749
0.33,0.0763348,0.393726,-0.370306,0,0.0532133,0.353937,-0.603326,-0.308723
0.332,0.0763348,0.393726,-0.370306,0,0.0532154,0.354351,-0.60306,-0.309938
0.334,0.0763348,0.393726,-0.370306,0,0.0532173,0.354764,-0.602794,-0.311136
0.336,0.0763348,0.393726,-0.370306,0,0.0532191,0.355176,-0.602526,-0.312317
0.338,0.0763348,0.393726,-0.370306,0,0.0532207,0.355585,-0.602257,-0.313482
0.34,0.0763348,0.393726,-0.370306,0,0.0532222,0.35599,-0.601986,-0.314632
0.342,0.0706271,0.397522,-0.369685,0,0.0532236,0.356391,-0.601714,-0.315768
0.344,0.0706271,0.397522,-0.369685,0,0.0532249,0.356792,-0.601443,-0.31688
0.346,0.0706271,0.397522,-0.369685,0,0.053226,0.357196,-0.601175,-0.317958
0.348,0.0706271,0.397522,-0.369685,0,0.053227,0.357603,-0.600912,-0.319003
0.35,0.0706271,0.397522,-0.369685,0,0.053228,0.358011,-0.600651,-0.320017
0.352,0.0706271,0.397522,-0.369685,0,0.0532289,0.358421,-0.600393,-0.321001
0.354,0.0706271,0.397522,-0.369685,0,0.0532297,0.358832,-0.600139,-0.321955
0.356,0.0706271,0.397522,-0.369685,0,0.0532304,0.359242,-0.599887,-0.322882
0.358,0.0706271,0.397522,-0.369685,0,0.0532311,0.35965,-0.599637,-0.323782
0.36,0.0706271,0.397522,-0.369685,0,0.0532318,0.360055,-0.59939,-0.324655
0.362,0.0659174,0.404014,-0.363896,0,0.0532324,0.360456,-0.599145,-0.325503
0.364,0.0659174,0.404014,-0.363896,0,0.0532331,0.360856,-0.598903,-0.326318
0.366,0.0659174,0.404014,-0.363896,0,0.0532337,0.361258,-0.598665,-0.327094
0.368,0.0659174,0.404014,-0.363896,0,0.0532345,0.36166,-0.598432,-0.327832
0.37,0.0659174,0.404014,-0.363896,0,0.0532352,0.362063,-0.598203,-0.328533
0.372,0.0659174,0.404014,-0.363896,0,0.053236,0.362466,-0.597977,-0.329198
0.374,0.0659174,0.404014,-0.363896,0,0.0532368,0.362869,-0.597755,-0.329829
0.376,0.0659174,0.404014,-0.363896,0,0.0532375,0.363271,-0.597537,-0.330426
0.378,0.0659174,0.404014,-0.363896,0,0.0532384,0.363673,-0.597322,-0.33099
0.38,0.0659174,0.404014,-0.363896,0,0.0532392,0.364072,-0.597111,-0.331523
0.382,0.060798,0.407378,-0.356698,0,0.05324,0.364467,-0.596903,-0.332024
0.384,0.060798,0.407378,-0.356698,0,0.0532407,0.364859,-0.596697,-0.332486
0.386,0.060798,0.407378,-0.356698,0,0.0532414,0.365249,-0.596494,-0.3329
0.388,0.060798,0.407378,-0.356698,0,0.053242,0.365634,-0.596294,-0.333267
0.39,0.060798,0.407378,-0.356698,0,0.0532426,0.366017,-0.596097,-0.33359
0.392,0.060798,0.407378,-0.356698,0,0.0532431,0.366397,-0.595901,-0.333868
0.394,0.060798,0.407378,-0.356698,0,0.0532436,0.366773,-0.595709,-0.334105
0.396,0.060798,0.407378,-0.356698,0,0.053244,0.367146,-0.595518,-0.334305
0.398,0.060798,0.407378,-0.356698,0,0.0532445,0.367517,-0.595328,-0.334474
0.4,0.060798,0.407378,-0.356698,0,0.0532448,0.367885,-0.595139,-0.334618
0.402,0.05562,0.410714,-0.348502,0,0.0532452,0.368251,-0.59495,-0.334739
0.404,0.05562,0.410714,-0.348502,0,0.0532455,0.368615,-0.594761,-0.334842
0.406,0.05562,0.410714,-0.348502,0,0.0532457,0.36898,-0.594568,-0.334926
0.408,0.05562,0.410714,-0.348502,0,0.0532459,0.369346,-0.594372,-0.334995
0.41,0.05562,0.410714,-0.348502,0,0.053246,0.36971,-0.594174,-0.335052
0.412,0.05562,0.410714,-0.348502,0,0.0532461,0.370074,-0.593972,-0.335098
0.414,0.05562,0.410714,-0.348502,0,0.0532461,0.370436,-0.593766,-0.335136
0.416,0.05562,0.410714,-0.348502,0,0.0532461,0.370795,-0.593557,-0.335165
0.418,0.05562,0.410714,-0.348502,0,0.053246,0.371152,-0.593344,-0.335188
0.42,0.05562,0.410714,-0.348502,0,0.0532459,0.371504,-0.593128,-0.335205
0.422,0.0509462,0.413078,-0.348012,0,0.0532457,0.371853,-0.592907,-0.335217
0.424,0.0509462,0.413078,-0.348012,0,0.0532454,0.372201,-0.592685,-0.335222
0.426,0.0509462,0.413078,-0.348012,0,0.0532448,0.372553,-0.592463,-0.335221
0.428,0.0509462,0.413078,-0.348012,0,0.053244,0.372907,-0.592241,-0.335213
0.43,0.0509462,0.413078,-0.348012,0,0.053243,0.373263,-0.592018,-0.335199
0.432,0.0509462,0.413078,-0.348012,0,0.0532418,0.37362,-0.591794,-0.33518
0.434,0.0509462,0.413078,-0.348012,0,0.0532405,0.373975,-0.59157,-0.335158
0.436,0.0509462,0.413078,-0.348012,0,0.053239,0.37433,-0.591344,-0.335132
0.438,0.0509462,0.413078,-0.348012,0,0.0532374,0.374681,-0.591117,-0.335102
0.44,0.0509462,0.413078,-0.348012,0,0.0532358,0.37503,-0.590889,-0.33507
0.442,0.0463382,0.417349,-0.347291,0,0.053234,0.375374,-0.59066,-0.335035
0.444,0.0463382,0.417349,-0.347291,0,0.053232,0.375719,-0.590433,-0.334984
0.446,0.0463382,0.417349,-0.347291,0,0.0532294,0.376068,-0.590211,-0.334903
0.448,0.0463382,0.417349,-0.347291,0,0.0532265,0.376419,-0.589994,-0.334791
0.45,0.0463382,0.417349,-0.347291,0,0.0532233,0.376772,-0.589782,-0.334649
0.452,0.0463382,0.417349,-0.347291,0,0.0532198,0.377126,-0.589575,-0.334478
0.454,0.0463382,0.417349,-0.347291,0,0.053216,0.377478,-0.589371,-0.334278
